ID Company,Name,Position,Company Name,Company Address,Company Phone,Company Fax,Company Email
1,NOR ZULAIKHA BINTI ABU BAKAR,ACCOUNTANT,ZBH GLOBAL,"Lot 43, Jalan Palembang, 09000 Alor Gajah, Melaka",04-9381212,04-9381213,zbhglobal@gmail.com
2,NOORAMERA BINTI ABU HASAN,CEO,HARDWORK COMBINE,"Lot 3A, Jalan Sultanah bahiyah, 01000 Alor Setar, Kedah",03-9223456,03-9223457,hardworkcombine@gmail.com
3,ZULKIFLI BIN MOHD HALIM,CONSULTANT,PELITA HIJRAH SND. BHD.,"No 13, Jalan Melati, 02340 Kuantan, Pahang",03-9353457,03-9353458,pelitahijrahsndbhd@gmail.com
4,SITI KHADIJAH BINTI SUFIAN,RECEPTIONIST,124STAR GOOD,"Tingkat 2F, Lot 3, Jalan Aman, 23000 Kuala Lumpur",05-9786545,05-9786546,stargood@gmail.com
5,NUR DALILA BINTI MOHD AZNI,CEO,DDHIJAB SDN. BHD.,"No 10, Jalan Haji Osman, 01000 Kangar, Perlis",06-9387611,06-9387612,ddhijabsdnbhd@gmail.com
6,KHAIRUL ISMAIL BIN SAHIM,MANAGER,VISION WORK,"Lot 2, Jalan Melati Indah, 16000 Sintok, Kedah",04-9236545,04-9236546,visionwork@gmail.com
7,RUSLINA BINTI JUSOH,EXECUTIVE,MEDIA PRIMA,"Lot 10, Lorong 4A, Taman Merpati, 02600 Bachok, Kelantan",02-9667676,02-9667677,mediaprima@gmail.com
8,DANIEL SYAFIQ BIN HALIM,HUMAN RESOURCE,STAR DEVELOPMENT,"No23, Lorong 4A, Taman Selasih, 01600 Jasin, Melaka",03-9345412,03-9345413,stardevelopment@gmail.com
9,SITI MUNIRAH BINTI ABDUL MALIK,HUMAN RESOURCE,PERMATA BERHAD,"Tingkat 2F, Jalan Sentosa, 23000 Selangor",03-9333876,03-9333877,permataberhad@gmail.com
10,MUHD SHAFUAN BIN OSMAN,CONSULTANT,ARHAD BUILDING SND. BHD.,"Lot 1, Tingkat 4F, Jalan Slamat, 23000 Kangar, Perlis",08-9326680,08-9326681,arhadbuildingsndbhd@gmail.com
11,NUR SYAZWANI BINTI MOHD ZUKI,MANAGER,SUPER V DEVELOPMENT,"No 221, Jalan Haji Said, 01000 Kuala Terengganu, Terengganu",04-9567512,04-9567513,supervdevelopment@gmail.com
12,MUHD SYAFIQ BIN ROSLAN,CONSULTANT,MELATI ENTERPRISE,"Tingkat 3,  Lorong 23A, 13000 Tanjung Malim, Perak",02-9387219,02-9387220,melatienterprise@gmail.com
13,SITI NURHADAINA BINTI MOHD FOAD,ACCOUNTANT,KHD SDN. BHD,"No 29,  Lorong 35B, 12300 Kuala Selangor, Selangor",03-9734242,03-9734243,khdsdnbhd@gmail.com
14,MUHAMMAD AMIR BIN KHAIRUDDIN,SECRETARY,PRESS ENTERPRISE,"Lot 19,  Jalan 35B, Taman Setia, 24000 Banting, Selangor",05-9875676,05-9875677,pressenterprise@gmail.com
15,AHMAD HADI BIN MOHD HAMID,MANAGER,PIXMA GLOBAL,"No 31,  Lorong 35B, Taman Kita,  14000 Alor Setar, Kedah",04-9002345,04-9002346,pixmaglobal@gmail.com
